Link,Car Name,Price,City,Registered In,Mileage,Fuel Type,Engine,Transmission
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2015 GLi 1.3 VVTi for Sale4.2/10,PKR 32lacs,Karachi,2015,"131,320 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2019 XLi Automatic for Sale,PKR 43.5lacs,Lahore,2019,"53,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Yaris Sedan  2025 AERO CVT 1.3 for Sale,PKR 50.5lacs,Lahore,2025,30 km,Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City  2009 1.3 i-VTEC Prosmatec for Sale,PKR 23.75lacs,Karachi,2009,"92,321 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2012 XLi VVTi for Sale,PKR 27.9lacs,Lahore,2012,"162,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Yaris Sedan  2025 GLI CVT 1.3 for Sale,PKR 50.9lacs,Islamabad,2025,47 km,Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Suzuki Swift  2011 DLX 1.3 for Sale,PKR 16.5lacs,Karachi,2011,"128,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Suzuki Swift  2017 DLX 1.3 for Sale,PKR 26.75lacs,Islamabad,2017,"72,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 23lacs,Karachi,2010,"152,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Vitz  2008 iLL 1.3 for Sale,PKR 30lacs,Islamabad,2008,"180,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Vitz  2007 F 1.3 for Sale,PKR 22.5lacs,Islamabad,2007,"22,500 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Belta  2006 X 1.3 for Sale,PKR 25.5lacs,Islamabad,2006,"200,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 23.85lacs,Lahore,2010,"200,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,PKR 45.95lacs,Lahore,2021,"18,700 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Suzuki Swift  2019 DLX Automatic 1.3 Navigation for Sale,PKR 31lacs,Karachi,2019,"39,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Changan Alsvin  2022 1.3L MT Comfort for Sale,PKR 30.5lacs,Lahore,2022,"72,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2016 GLi Automatic 1.3 VVTi for Sale,PKR 36.9lacs,Karachi,2016,"72,200 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Suzuki Margalla  1995 GL for Sale,PKR 7lacs,Islamabad,1995,"350,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City  2005 i-DSI for Sale,PKR 20.5lacs,Lahore,2005,"131,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Suzuki Liana  2006 RXi for Sale,PKR 13.5lacs,Lahore,2006,"190,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City  2006 i-DSI for Sale,PKR 16.5lacs,Karachi,2006,"123,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City  2006 i-DSI for Sale,PKR 17.75lacs,Islamabad,2006,"300,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2018  for Sale,PKR 38.5lacs,Karachi,2018,"91,500 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Vitz  2006 iLL 1.3 for Sale,PKR 24.4lacs,Islamabad,2006,"150,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City 5th (GM2) Generation 2015 1.3 i-VTEC for Sale,PKR 31lacs,Lahore,2015,"95,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City  2010  for Sale,PKR 26.5lacs,Lahore,2010,"120,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2012 GLi 1.3 VVTi for Sale,PKR 28.4lacs,Lahore,2012,"140,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Yaris Sedan  2022 ATIV CVT 1.3 for Sale,PKR 45.25lacs,Islamabad,2022,"75,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=4,Nissan Kicks  2020 XV Premium for Sale,PKR 64lacs,Lahore,2020,"97,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=4,Honda City 5th (GM2) Generation 2019 1.3 i-VTEC Prosmatec for Sale,PKR 37.25lacs,Karachi,2019,"58,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=4,Toyota Corolla  2016 GLi 1.3 VVTi for Sale,PKR 37.5lacs,Islamabad,2016,"86,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=4,Nissan Kicks  2020 XV Premium for Sale,PKR 66.5lacs,Lahore,2020,"93,000 km",Hybrid,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=4,Suzuki Swift  2019 DLX Automatic 1.3 Navigation for Sale5.3/10,PKR 25.5lacs,Lahore,2019,"77,092 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=4,Toyota Corolla 9th (E120) Generation 2006 XLi for Sale,PKR 21.4lacs,Islamabad,2006,11 km,Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=4,Toyota Corolla  2016 GLi Automatic 1.3 VVTi for Sale,PKR 41.3lacs,Islamabad,2016,"130,000 km",Petrol,1300 cc,Automatic
