link,car_name,price,city,registered_in,mileage,fuel_type,engine,transmission,car_brand,car_model,extracted_engine,car_brand_encoded,car_model_encoded,city_encoded,fuel_type_encoded,transmission_encoded
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Suzuki Swift  2019 DLX Automatic 1.3 Navigation for Sale,3100000.0,karachi,2019,39000,petrol,1300.0,automatic,suzuki,swift,1300.0,9,14,1,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Changan Alsvin  2022 1.3L MT Comfort for Sale,3050000.0,lahore,2022,72000,petrol,1300.0,manual,changan,alsvin,1300.0,0,1,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2016 GLi Automatic 1.3 VVTi for Sale,3690000.0,karachi,2016,72200,petrol,1300.0,automatic,toyota,corolla,1300.0,10,6,1,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Suzuki Margalla  1995 GL for Sale,700000.0,islamabad,1995,350000,petrol,1300.0,manual,suzuki,unknown,,9,16,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City  2005 i-DSI for Sale,2050000.0,lahore,2005,131000,petrol,1300.0,manual,honda,city,,2,4,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Suzuki Liana  2006 RXi for Sale,1350000.0,lahore,2006,190000,petrol,1300.0,manual,suzuki,liana,,9,12,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City  2006 i-DSI for Sale,1650000.0,karachi,2006,123000,petrol,1300.0,manual,honda,city,,2,4,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City  2006 i-DSI for Sale,1775000.0,islamabad,2006,300000,petrol,1300.0,manual,honda,city,,2,4,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2018  for Sale,3850000.0,karachi,2018,91500,petrol,1300.0,manual,toyota,corolla,,10,6,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Vitz  2006 iLL 1.3 for Sale,2440000.0,islamabad,2006,150000,petrol,1300.0,automatic,toyota,vitz,1300.0,10,17,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City 5th (GM2) Generation 2015 1.3 i-VTEC for Sale,3100000.0,lahore,2015,95000,petrol,1300.0,manual,honda,city,1300.0,2,4,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City  2010  for Sale,2650000.0,lahore,2010,120000,petrol,1300.0,manual,honda,city,,2,4,2,4,1
